Rank,Address,Name Tag,Balance,Percentage,Txn Count
305,0x2b5c667178cbc002258f5c81b3919d3cf7283b0a,,"47,985.750435 Ether",0.04003439%,7
306,0x0016c0d0343e8f2c3a7b6a51606b84b1545ec606,,"47,552.26987456 Ether",0.03967274%,124075
307,0xa2f6abe26fe0e1c1f2684ab002ed02a59ffbf85a,,"47,454.61747979 Ether",0.03959127%,55
310,0x692190b4a5d3524b6fed0465e7400c07d09db954,,"46,398.73487812 Ether",0.03871035%,819
311,0x0985c6784a068315103d703df1b5e4a6c1eb292e,,"46,377.74261534 Ether",0.03869284%,6
312,0x51656396e883c1e398ccec721a8c2af5a98beb01,,"46,372.33306158 Ether",0.03868832%,19
313,0xa1233ef9b1ecd788a27e762597c3ec0562652538,,"44,999.98537561 Ether",0.03754338%,3
315,0x541680cbc8b8ffa13d9edff0a5b0882b85127b02,,"44,599.70987394 Ether",0.03720943%,7
316,0xab7bb7959332888e44d795c6f28ee876a8469eaa,,"44,550.05 Ether",0.03716800%,12
317,0x42697cc8cb495aebd453d016950344867d51f27e,,"44,199.90117489 Ether",0.03687587%,2
318,0x508c922530fe2fb196cffdbd850259b281a4cebe,,"43,987.88214955 Ether",0.03669898%,2
319,0x1ac33f385a4e9fe2d809a81c5c10473f81ee0ed3,,"43,786.31009354 Ether",0.03653081%,11
